,x,y,z
0,22.684034347526158,41.3116047759928,3
1,-12.98273442097473,-7.956034231213225,3
2,1.0106712038771173,-21.814308676141604,3
3,-18.213998579800165,24.24642479870378,3
4,-19.737659233171925,26.312883408058976,3
5,-27.171958808168345,8.21322372346327,3
6,-28.263866412836364,18.753836901571848,3
7,20.88275799351829,-19.114135866186576,3
8,-26.146559282819315,10.300870812130773,3
9,8.263177817206975,23.765128452042926,3
10,5.80523118619239,31.299681019682076,3
11,7.860665610029777,-29.403816630739456,3
12,-28.31827342479586,20.10781124252366,3
13,-15.388341150289918,-31.98902547699489,3
14,38.21189365658958,10.431845445616446,3
15,1.066706695568858,-17.020132856884093,3
16,-15.949195272813512,29.567638951994926,3
17,24.6291769318949,34.59868203707784,3
18,29.53346810380007,34.935896345844554,3
19,43.01725786250618,14.181953567898372,3
20,-22.370649674319708,11.167575209135414,3
21,20.313640251366877,12.351370637902715,3
22,-30.703492896025068,11.192930759559083,3
23,12.565520245897456,5.135625356287649,3
24,-26.5586146583898,20.64845915524691,3
25,-17.680077346110554,-19.571538209790226,3
26,1.0633141001735285,-9.684954178873703,3
27,-23.783974105710065,-25.56233263376277,3
28,40.03158242291141,1.9867091558606458,3
29,-1.873663595393625,11.176921090172076,3
30,-27.072178679840192,14.589474804329706,3
31,19.56842795284012,-3.7099329813896316,3
32,58.09483929198164,-15.260921124620292,3
33,-25.337497425328184,-15.833669097049594,3
34,18.535622123236426,-16.135563875810018,3
35,-13.90511657571207,-25.70268305726865,3
36,39.718241666046644,26.44163036812223,3
37,62.346864147382625,-5.7715469462126325,3
38,-5.032033252914349,4.365684040523592,3
39,50.469905635220776,15.032850994079613,4
40,-11.203735879409823,-29.894144594306198,3
41,14.44639654477825,-6.2572771233454585,3
42,3.576238266291517,-30.694766418044168,3
43,24.34127523276279,40.343329445557046,3
44,-29.91588495099262,1.001007569455212,3
45,7.076925334204394,-36.145493450175714,3
46,9.999278077836372,24.449736289626355,3
47,12.530594235439208,-21.783141249052246,3
48,14.070713209411545,-8.510097061858065,3
49,-22.33797080623105,19.489659901133884,3
50,6.0171095257827165,-13.798663817934678,3
51,-3.3909776628081167,23.992123647505153,3
52,15.49803106676512,8.364564525763486,3
53,-11.15977737976664,-33.923315216309554,3
54,4.856050169240819,-0.3050922177383815,3
55,-24.50479687999541,0.9797544328777321,3
56,22.40092087898001,40.732502999787854,3
57,11.315661067257437,35.568396442282605,3
58,-16.392420443982864,-8.390326682207576,3
59,-29.661836495368192,14.214596159024158,3
60,2.81697653572505,-21.82937768107582,3
61,4.407344984238914,-17.992775540484036,3
62,14.309931393339431,9.322507073552789,3
63,-11.923424150346186,28.188673150616946,3
64,-7.391589804795446,28.745837593979726,3
65,-21.80492253153273,17.263617057222888,3
66,39.84181553083224,12.8896229348342,3
67,-30.185707403169253,-6.057751815198901,3
68,-18.38891451831116,-2.4457584131771757,3
69,4.532484075883951,14.595564288732364,3
70,-11.164419339881379,-31.346951248538986,3
71,-29.36129271404684,-15.806094354046193,3
72,11.47424905122081,-8.704703647804147,3
73,-20.654286500928304,-10.998137832180511,3
74,9.526325663313147,-37.780105246947095,3
75,-26.76904452606348,-21.42707378648118,3
76,-19.52715399245522,27.664534257778087,3
